CP,Media_Comorbilidad,Num_Pacientes
24400.0,1.8372093023255813,43
24344.0,1.6,5
24738.0,1.5,12
24402.0,1.5,2
24893.0,1.5,2
24311.0,1.5,2
5300.0,1.5,2
24293.0,1.5,2
24285.0,1.5,2
49622.0,1.5,2
9197.0,1.0,3
4740.0,1.0,1
47400.0,1.0,1
4022.0,1.0,1
24403.0,1.0,2
49019.0,1.0,1
24199.0,1.0,4
24343.0,1.0,1
42001.0,1.0,1
28028.0,1.0,1
24797.0,1.0,2
24650.0,1.0,1
24224.0,0.8,5
24420.0,0.8,5
24390.0,0.5333333333333333,15
24500.0,0.5,4
24330.0,0.5,2
8000.0,0.5,2
24404.0,0.3333333333333333,3
8830.0,0.0,1
5000.0,0.0,1
15160.0,0.0,1
49562.0,0.0,1
49023.0,0.0,1
24151.0,0.0,2
24316.0,0.0,1
24236.0,0.0,7
24219.0,0.0,6
47014.0,0.0,3
24560.0,0.0,1
24523.0,0.0,1
24412.0,0.0,1
24450.0,0.0,1
24429.0,0.0,1
24386.0,0.0,1
24892.0,0.0,1
32300.0,0.0,1
37000.0,0.0,1
35000.0,0.0,1
53276.0,0.0,1
