ICD9|ICD10
122.4|B67.4
122.5|B67.5
122.6|B67.69
122.7|B67.7
122.8|B67.8
122.9|B67.90
122.9|B67.99
123.0|B68.0
123.1|B69.9
123.2|B68.1
123.3|B68.9
123.4|B70.0
123.5|B70.1
123.6|B71.0
123.8|B71.1
123.8|B71.8
123.9|B71.9
124|B75
125.0|B74.0
125.1|B74.1
125.2|B74.3
125.3|B73.1
125.4|B74.8
125.5|B74.4
125.6|B74.8
125.7|B72
125.9|B74.9
126.0|B76.0
126.1|B76.1
126.2|B76.0
126.3|B76.0
126.8|B76.0
126.9|B76.8
126.9|B76.9
127.0|B77.81
127.0|B77.9
127.1|B81.0
127.2|B78.9
127.3|B79
127.4|B80
127.5|B81.1
127.6|B81.2
127.7|B81.8
127.8|B81.4
127.9|B82.0
128.0|B83.0
128.1|B83.1
128.8|B83.2
128.8|B83.8
128.9|B83.9
129|B82.9
130.0|B58.2
130.1|B58.09
130.2|B58.01
130.3|B58.81
130.4|B58.3
130.5|B58.1
130.7|B58.89
130.8|B58.89
130.9|B58.9
131.00|A59.00
131.01|A59.01
131.02|A59.03
131.03|A59.02
131.09|A59.09
131.8|A59.8
131.9|A59.9
132.0|B85.0
132.1|B85.1
132.2|B85.3
132.3|B85.4
132.9|B85.2
133.0|B86
133.8|B88.0
133.9|B88.9
134.0|B87.9
134.1|B88.2
134.2|B83.4
134.2|B88.3
134.8|B88.8
134.9|B88.9
135|D86.9
136.0|L94.6
136.1|M35.2
136.21|B60.11
136.29|B60.19
136.29|B60.2
136.3|B59
136.4|B60.8
136.5|A07.8
136.8|B60.8
136.8|B99.8
136.9|B89
136.9|B99.9
137.0|B90.9
137.1|B90.0
137.2|B90.1
137.3|B90.2
137.4|B90.8
138|B91
138|G14
139.0|B94.1
139.1|B94.0
139.8|B94.8
139.8|B94.9
140.0|C00.0
140.1|C00.1
140.3|C00.3
140.4|C00.4
140.5|C00.5
140.6|C00.6
140.8|C00.8
140.9|C00.2
141.0|C01
141.1|C02.0
141.2|C02.1
141.3|C02.2
141.4|C02.3
141.5|C02.8
141.6|C02.4
141.8|C02.8
141.9|C02.9
142.0|C07
142.1|C08.0
142.2|C08.1
142.8|C08.9
142.9|C08.9
143.0|C03.0
143.1|C03.1
143.8|C03.9
143.9|C03.9
144.0|C04.0
144.1|C04.1
144.8|C04.8
144.9|C04.9
145.0|C06.0
145.1|C06.1
145.2|C05.0
145.3|C05.1
145.4|C05.2
145.5|C05.9
145.6|C06.2
145.8|C06.89
145.9|C06.9
146.0|C09.9
146.1|C09.0
146.2|C09.1
146.3|C10.0
146.4|C10.1
146.5|C10.8
146.6|C10.2
146.7|C10.3
146.8|C10.4
146.8|C10.8
146.9|C10.9
147.0|C11.0
147.1|C11.1
147.2|C11.2
147.3|C11.3
147.8|C11.8
147.9|C11.9
148.0|C13.0
148.1|C12
148.2|C13.1
148.3|C13.2
148.8|C13.8
148.9|C13.9
149.0|C14.0
149.1|C14.2
149.8|C14.8
149.9|C14.8
150.0|C15.3
150.1|C15.4
150.2|C15.5
150.3|C15.3
150.4|C15.4
150.5|C15.5
150.8|C15.8
150.9|C15.9
151.0|C16.0
151.1|C16.4
151.2|C16.3
151.3|C16.1
151.4|C16.2
151.5|C16.5
151.6|C16.6
151.8|C16.8
151.9|C16.9
152.0|C17.0
152.1|C17.1
152.2|C17.2
152.3|C17.3
152.8|C17.8
152.9|C17.9
153.0|C18.3
153.1|C18.4
153.2|C18.6
153.3|C18.7
153.4|C18.0
153.5|C18.1
153.6|C18.2
153.7|C18.5
153.8|C18.8
153.9|C18.9
154.0|C19
154.1|C20
154.2|C21.1
154.3|C21.0
154.8|C21.8
155.0|C22.0
155.0|C22.2
155.0|C22.7
155.0|C22.8
155.1|C22.1
155.2|C22.9
156.0|C23
156.1|C24.0
156.2|C24.1
156.8|C24.8
156.9|C24.9
157.0|C25.0
